,celltypes_fine,celltypes_coarse
116956-3,myCAF_ACTA2,Fibroblasts
116962-3,NK cells,Lymphocytes
117018-3,Macrophages_M1,Macrophages
117019-3,Classical_CEACAM,Classical PDAC
117023-3,Basal,Basal-like PDAC
117032-3,NK cells,Lymphocytes
117033-3,Macrophages_M1,Macrophages
117053-3,Macrophages_M2,Macrophages
117070-3,Beta cells,Endocrine cells
117073-3,Macrophages_M1,Macrophages
117088-3,Classical_CEACAM,Classical PDAC
117112-3,Ductal cells,Ductal cells
117116-3,Classical_CEACAM,Classical PDAC
117125-3,Acinar cells,Acinar cells
117131-3,myCAF_POSTN,Fibroblasts
117146-3,myCAF_ACTA2,Fibroblasts
117164-3,Endothelial cells,Endothelial cells
117171-3,Classical_CEACAM,Classical PDAC
117178-3,Acinar cells,Acinar cells
117188-3,myCAF_POSTN,Fibroblasts
117191-3,Classical_KRT7,Classical PDAC
117221-3,Classical_CEACAM,Classical PDAC
117226-3,Endothelial cells,Endothelial cells
117229-3,myCAF_POSTN,Fibroblasts
117246-3,Ductal cells,Ductal cells
117256-3,Basal,Basal-like PDAC
117278-3,myCAF_ACTA2,Fibroblasts
117285-3,myCAF_ACTA2,Fibroblasts
117290-3,Classical_CEACAM,Classical PDAC
117303-3,Schwann cells,Schwann cells
117321-3,Macrophages_M2,Macrophages
117327-3,Macrophages_M1,Macrophages
117331-3,myCAF_POSTN,Fibroblasts
117339-3,myCAF_ACTA2,Fibroblasts
117346-3,myCAF_ACTA2,Fibroblasts
117356-3,Classical_TFF1,Classical PDAC
117375-3,Classical_CEACAM,Classical PDAC
117385-3,Classical_TFF1,Classical PDAC
117390-3,Endothelial cells,Endothelial cells
117404-3,Basal,Basal-like PDAC
117411-3,Beta cells,Endocrine cells
117412-3,T cells,Lymphocytes
117437-3,Endothelial cells,Endothelial cells
117441-3,myCAF_ACTA2,Fibroblasts
117445-3,Acinar cells,Acinar cells
117467-3,Classical_TFF1,Classical PDAC
117473-3,Beta cells,Endocrine cells
117481-3,NK cells,Lymphocytes
117483-3,Basal,Basal-like PDAC
117486-3,myCAF_ACTA2,Fibroblasts
117506-3,B cells,Lymphocytes
117521-3,Classical_CEACAM,Classical PDAC
117527-3,Classical_CEACAM,Classical PDAC
117538-3,Classical_CEACAM,Classical PDAC
117539-3,Classical_TFF1,Classical PDAC
117540-3,Classical_TFF1,Classical PDAC
117541-3,Classical_KRT7,Classical PDAC
117569-3,Classical_TFF1,Classical PDAC
117581-3,myCAF_ACTA2,Fibroblasts
117585-3,Acinar cells,Acinar cells
117614-3,Classical_KRT7,Classical PDAC
117618-3,Dendritic cells,Dendritic cells
117630-3,Ductal cells,Ductal cells
117644-3,Classical_CEACAM,Classical PDAC
117654-3,myCAF_ACTA2,Fibroblasts
117656-3,Macrophages_M1,Macrophages
117660-3,Classical_CEACAM,Classical PDAC
117664-3,myCAF_POSTN,Fibroblasts
117680-3,Endothelial cells,Endothelial cells
117685-3,Classical_KRT7,Classical PDAC
117686-3,Macrophages_M1,Macrophages
117694-3,Classical_TFF1,Classical PDAC
117708-3,Basal,Basal-like PDAC
117714-3,myCAF_ACTA2,Fibroblasts
117731-3,Classical_TFF1,Classical PDAC
117734-3,myCAF_POSTN,Fibroblasts
117740-3,myCAF_POSTN,Fibroblasts
117742-3,Classical_TFF1,Classical PDAC
117743-3,Classical_CEACAM,Classical PDAC
117750-3,Macrophages_M1,Macrophages
117756-3,myCAF_POSTN,Fibroblasts
117759-3,Ductal cells,Ductal cells
117762-3,myCAF_ACTA2,Fibroblasts
117764-3,Schwann cells,Schwann cells
117768-3,Acinar cells,Acinar cells
117778-3,Acinar cells,Acinar cells
117779-3,Beta cells,Endocrine cells
117785-3,Basal,Basal-like PDAC
117797-3,Classical_TFF1,Classical PDAC
117803-3,Classical_CEACAM,Classical PDAC
117810-3,iCAF,Fibroblasts
117811-3,B cells,Lymphocytes
117816-3,Endothelial cells,Endothelial cells
117857-3,Classical_TFF1,Classical PDAC
117861-3,Schwann cells,Schwann cells
117863-3,Classical_TFF1,Classical PDAC
117865-3,B cells,Lymphocytes
117893-3,Beta cells,Endocrine cells
117894-3,Ductal cells,Ductal cells
117898-3,Classical_TFF1,Classical PDAC
117904-3,Classical_TFF1,Classical PDAC
117922-3,Classical_CEACAM,Classical PDAC
117926-3,Ductal cells,Ductal cells
117930-3,myCAF_ACTA2,Fibroblasts
117945-3,Beta cells,Endocrine cells
117967-3,iCAF,Fibroblasts
117977-3,Ductal cells,Ductal cells
117996-3,myCAF_ACTA2,Fibroblasts
118000-3,Dendritic cells,Dendritic cells
118001-3,Classical_TFF1,Classical PDAC
118005-3,Macrophages_M1,Macrophages
118011-3,Beta cells,Endocrine cells
118018-3,Classical_KRT7,Classical PDAC
118019-3,Classical_TFF1,Classical PDAC
118024-3,Basal,Basal-like PDAC
118052-3,Acinar cells,Acinar cells
118054-3,Classical_CEACAM,Classical PDAC
118071-3,Classical_KRT7,Classical PDAC
118074-3,Classical_CEACAM,Classical PDAC
118085-3,Classical_CEACAM,Classical PDAC
118087-3,iCAF,Fibroblasts
118102-3,Acinar cells,Acinar cells
118112-3,Endothelial cells,Endothelial cells
118118-3,myCAF_ACTA2,Fibroblasts
118121-3,B cells,Lymphocytes
118127-3,Macrophages_M2,Macrophages
118153-3,T cells,Lymphocytes
118159-3,Basal,Basal-like PDAC
118163-3,myCAF_POSTN,Fibroblasts
118168-3,Alpha cells,Endocrine cells
118190-3,Endothelial cells,Endothelial cells
118197-3,Classical_CEACAM,Classical PDAC
118216-3,NK cells,Lymphocytes
118217-3,myCAF_POSTN,Fibroblasts
118220-3,Basal,Basal-like PDAC
118232-3,Classical_KRT7,Classical PDAC
118258-3,Classical_CEACAM,Classical PDAC
118275-3,myCAF_POSTN,Fibroblasts
118277-3,B cells,Lymphocytes
118284-3,Macrophages_M2,Macrophages
118288-3,myCAF_ACTA2,Fibroblasts
118323-3,Classical_CEACAM,Classical PDAC
118334-3,Ductal cells,Ductal cells
118338-3,Classical_REG4,Classical PDAC
118339-3,Classical_CEACAM,Classical PDAC
118346-3,Acinar cells,Acinar cells
118348-3,B cells,Lymphocytes
118365-3,Macrophages_M2,Macrophages
118367-3,Classical_REG4,Classical PDAC
118369-3,Classical_KRT7,Classical PDAC
118381-3,Acinar cells,Acinar cells
118386-3,Ductal cells,Ductal cells
118403-3,myCAF_ACTA2,Fibroblasts
118404-3,T cells,Lymphocytes
118421-3,Classical_TFF1,Classical PDAC
118432-3,Classical_KRT7,Classical PDAC
118452-3,Alpha cells,Endocrine cells
118461-3,myCAF_POSTN,Fibroblasts
118501-3,myCAF_POSTN,Fibroblasts
118514-3,B cells,Lymphocytes
118516-3,Classical_TFF1,Classical PDAC
118529-3,myCAF_ACTA2,Fibroblasts
118544-3,Acinar cells,Acinar cells
118545-3,Classical_CEACAM,Classical PDAC
118557-3,Classical_CEACAM,Classical PDAC
118561-3,Classical_TFF1,Classical PDAC
118562-3,T cells,Lymphocytes
118566-3,Classical_CEACAM,Classical PDAC
118572-3,T cells,Lymphocytes
118576-3,myCAF_ACTA2,Fibroblasts
118585-3,Macrophages_M1,Macrophages
118587-3,Classical_CEACAM,Classical PDAC
118592-3,Classical_CEACAM,Classical PDAC
118597-3,B cells,Lymphocytes
118612-3,NK cells,Lymphocytes
118632-3,Alpha cells,Endocrine cells
118633-3,Acinar cells,Acinar cells
118635-3,myCAF_ACTA2,Fibroblasts
118640-3,myCAF_POSTN,Fibroblasts
118650-3,Schwann cells,Schwann cells
118656-3,Macrophages_M1,Macrophages
118683-3,Basal,Basal-like PDAC
118707-3,Acinar cells,Acinar cells
118711-3,Classical_CEACAM,Classical PDAC
118717-3,Classical_CEACAM,Classical PDAC
118720-3,Acinar cells,Acinar cells
118723-3,B cells,Lymphocytes
118726-3,Classical_TFF1,Classical PDAC
118737-3,Classical_KRT7,Classical PDAC
118739-3,Classical_CEACAM,Classical PDAC
118752-3,Endothelial cells,Endothelial cells
118759-3,myCAF_POSTN,Fibroblasts
118766-3,Classical_KRT7,Classical PDAC
118767-3,Classical_CEACAM,Classical PDAC
118782-3,Macrophages_M1,Macrophages
118815-3,Schwann cells,Schwann cells
118843-3,iCAF,Fibroblasts
118846-3,Macrophages_M1,Macrophages
118854-3,myCAF_ACTA2,Fibroblasts
118868-3,Macrophages_M2,Macrophages
118870-3,Classical_KRT7,Classical PDAC
118876-3,iCAF,Fibroblasts
118877-3,Classical_TFF1,Classical PDAC
118892-3,Basal,Basal-like PDAC
118909-3,iCAF,Fibroblasts
118911-3,Acinar cells,Acinar cells
118922-3,Classical_CEACAM,Classical PDAC
118928-3,B cells,Lymphocytes
118929-3,Classical_CEACAM,Classical PDAC
118932-3,myCAF_ACTA2,Fibroblasts
118952-3,Classical_CEACAM,Classical PDAC
118953-3,myCAF_ACTA2,Fibroblasts
118956-3,Classical_KRT7,Classical PDAC
118976-3,Classical_CEACAM,Classical PDAC
118983-3,Acinar cells,Acinar cells
118998-3,Acinar cells,Acinar cells
119004-3,Classical_CEACAM,Classical PDAC
119015-3,myCAF_ACTA2,Fibroblasts
119016-3,Ductal cells,Ductal cells
119018-3,Classical_CEACAM,Classical PDAC
119038-3,myCAF_ACTA2,Fibroblasts
119043-3,Classical_TFF1,Classical PDAC
119048-3,Classical_TFF1,Classical PDAC
119060-3,Classical_TFF1,Classical PDAC
119064-3,Classical_CEACAM,Classical PDAC
119091-3,myCAF_POSTN,Fibroblasts
119107-3,Acinar cells,Acinar cells
119117-3,Beta cells,Endocrine cells
119120-3,Classical_TFF1,Classical PDAC
119132-3,B cells,Lymphocytes
119134-3,Alpha cells,Endocrine cells
119155-3,B cells,Lymphocytes
119163-3,Endothelial cells,Endothelial cells
119173-3,Macrophages_M1,Macrophages
119174-3,B cells,Lymphocytes
119182-3,Classical_CEACAM,Classical PDAC
119192-3,Acinar cells,Acinar cells
119194-3,Classical_KRT7,Classical PDAC
119210-3,Classical_CEACAM,Classical PDAC
119215-3,Classical_CEACAM,Classical PDAC
119235-3,Acinar cells,Acinar cells
119261-3,T cells,Lymphocytes
119271-3,NK cells,Lymphocytes
119280-3,Ductal cells,Ductal cells
119291-3,Classical_CEACAM,Classical PDAC
119295-3,B cells,Lymphocytes
119300-3,Endothelial cells,Endothelial cells
119302-3,myCAF_POSTN,Fibroblasts
119313-3,Schwann cells,Schwann cells
119317-3,Classical_KRT7,Classical PDAC
119344-3,Macrophages_M1,Macrophages
119345-3,Classical_CEACAM,Classical PDAC
119372-3,Classical_TFF1,Classical PDAC
119392-3,B cells,Lymphocytes
119413-3,Classical_CEACAM,Classical PDAC
119414-3,Classical_TFF1,Classical PDAC
119437-3,Beta cells,Endocrine cells
119441-3,Basal,Basal-like PDAC
119449-3,Ductal cells,Ductal cells
119460-3,Macrophages_M2,Macrophages
119461-3,B cells,Lymphocytes
119478-3,B cells,Lymphocytes
119481-3,Classical_CEACAM,Classical PDAC
119498-3,T cells,Lymphocytes
119507-3,myCAF_ACTA2,Fibroblasts
119522-3,Endothelial cells,Endothelial cells
119523-3,iCAF,Fibroblasts
119539-3,myCAF_ACTA2,Fibroblasts
119559-3,Endothelial cells,Endothelial cells
119560-3,myCAF_ACTA2,Fibroblasts
119561-3,myCAF_POSTN,Fibroblasts
119571-3,Macrophages_M1,Macrophages
119572-3,iCAF,Fibroblasts
119574-3,myCAF_ACTA2,Fibroblasts
119581-3,B cells,Lymphocytes
119604-3,Acinar cells,Acinar cells
119609-3,Acinar cells,Acinar cells
119611-3,B cells,Lymphocytes
119614-3,T cells,Lymphocytes
119618-3,Schwann cells,Schwann cells
119620-3,Beta cells,Endocrine cells
119622-3,iCAF,Fibroblasts
119630-3,Ductal cells,Ductal cells
119632-3,Beta cells,Endocrine cells
119638-3,myCAF_POSTN,Fibroblasts
119648-3,myCAF_ACTA2,Fibroblasts
119649-3,Endothelial cells,Endothelial cells
119678-3,iCAF,Fibroblasts
119691-3,Classical_CEACAM,Classical PDAC
119697-3,Classical_CEACAM,Classical PDAC
119700-3,Classical_TFF1,Classical PDAC
119725-3,NK cells,Lymphocytes
119730-3,myCAF_ACTA2,Fibroblasts
119736-3,Ductal cells,Ductal cells
119756-3,Classical_KRT7,Classical PDAC
119768-3,T cells,Lymphocytes
119769-3,Classical_CEACAM,Classical PDAC
119784-3,Classical_TFF1,Classical PDAC
119788-3,Basal,Basal-like PDAC
119797-3,Classical_CEACAM,Classical PDAC
119800-3,Beta cells,Endocrine cells
119809-3,Acinar cells,Acinar cells
119815-3,Classical_TFF1,Classical PDAC
119826-3,T cells,Lymphocytes
119829-3,Ductal cells,Ductal cells
119832-3,Classical_CEACAM,Classical PDAC
119852-3,Acinar cells,Acinar cells
119855-3,myCAF_ACTA2,Fibroblasts
119874-3,Ductal cells,Ductal cells
119887-3,Classical_KRT7,Classical PDAC
119901-3,Endothelial cells,Endothelial cells
119909-3,Classical_CEACAM,Classical PDAC
119925-3,Classical_CEACAM,Classical PDAC
119936-3,Macrophages_M1,Macrophages
119979-3,T cells,Lymphocytes
120015-3,Macrophages_M1,Macrophages
120018-3,Macrophages_M2,Macrophages
120022-3,Classical_CEACAM,Classical PDAC
120032-3,Classical_TFF1,Classical PDAC
120052-3,Acinar cells,Acinar cells
120053-3,Classical_CEACAM,Classical PDAC
120067-3,myCAF_ACTA2,Fibroblasts
120072-3,myCAF_POSTN,Fibroblasts
120073-3,Classical_CEACAM,Classical PDAC
120076-3,Acinar cells,Acinar cells
120102-3,Classical_KRT7,Classical PDAC
120110-3,Classical_KRT7,Classical PDAC
120135-3,B cells,Lymphocytes
120139-3,Classical_KRT7,Classical PDAC
120141-3,Classical_KRT7,Classical PDAC
120151-3,myCAF_POSTN,Fibroblasts
120165-3,myCAF_ACTA2,Fibroblasts
120174-3,Endothelial cells,Endothelial cells
120183-3,T cells,Lymphocytes
120184-3,B cells,Lymphocytes
120185-3,Classical_KRT7,Classical PDAC
120193-3,NK cells,Lymphocytes
120206-3,Acinar cells,Acinar cells
120223-3,Classical_CEACAM,Classical PDAC
120224-3,Acinar cells,Acinar cells
120225-3,Schwann cells,Schwann cells
120226-3,Acinar cells,Acinar cells
120251-3,B cells,Lymphocytes
120258-3,T cells,Lymphocytes
120262-3,Classical_KRT7,Classical PDAC
120273-3,myCAF_ACTA2,Fibroblasts
120282-3,myCAF_ACTA2,Fibroblasts
120299-3,Basal,Basal-like PDAC
120306-3,Endothelial cells,Endothelial cells
120309-3,Ductal cells,Ductal cells
120315-3,Classical_CEACAM,Classical PDAC
120350-3,Classical_CEACAM,Classical PDAC
120354-3,B cells,Lymphocytes
120360-3,Macrophages_M2,Macrophages
120382-3,Classical_REG4,Classical PDAC
120383-3,Classical_KRT7,Classical PDAC
120391-3,Acinar cells,Acinar cells
120397-3,Dendritic cells,Dendritic cells
120407-3,Macrophages_M2,Macrophages
120414-3,myCAF_POSTN,Fibroblasts
120420-3,Classical_CEACAM,Classical PDAC
120431-3,Macrophages_M1,Macrophages
120434-3,Ductal cells,Ductal cells
120438-3,Classical_CEACAM,Classical PDAC
120447-3,Acinar cells,Acinar cells
120460-3,Classical_KRT7,Classical PDAC
120477-3,myCAF_POSTN,Fibroblasts
120479-3,Classical_TFF1,Classical PDAC
120482-3,Acinar cells,Acinar cells
120491-3,iCAF,Fibroblasts
120493-3,myCAF_ACTA2,Fibroblasts
120501-3,Classical_CEACAM,Classical PDAC
120504-3,Macrophages_M2,Macrophages
120506-3,Beta cells,Endocrine cells
120508-3,Acinar cells,Acinar cells
120523-3,Ductal cells,Ductal cells
120525-3,B cells,Lymphocytes
120550-3,Acinar cells,Acinar cells
120569-3,Ductal cells,Ductal cells
120587-3,Classical_KRT7,Classical PDAC
120599-3,Basal,Basal-like PDAC
120602-3,Classical_CEACAM,Classical PDAC
120603-3,Macrophages_M2,Macrophages
120616-3,Macrophages_M1,Macrophages
120630-3,myCAF_POSTN,Fibroblasts
120634-3,iCAF,Fibroblasts
120637-3,Classical_TFF1,Classical PDAC
120666-3,Classical_CEACAM,Classical PDAC
120667-3,myCAF_ACTA2,Fibroblasts
120670-3,Ductal cells,Ductal cells
120683-3,Classical_KRT7,Classical PDAC
120686-3,myCAF_ACTA2,Fibroblasts
120705-3,Endothelial cells,Endothelial cells
120707-3,Acinar cells,Acinar cells
120723-3,Acinar cells,Acinar cells
120763-3,Schwann cells,Schwann cells
120787-3,Basal,Basal-like PDAC
120789-3,Classical_CEACAM,Classical PDAC
120798-3,iCAF,Fibroblasts
120802-3,Classical_CEACAM,Classical PDAC
120834-3,myCAF_ACTA2,Fibroblasts
120837-3,Classical_CEACAM,Classical PDAC
120839-3,Endothelial cells,Endothelial cells
120841-3,myCAF_ACTA2,Fibroblasts
120851-3,Basal,Basal-like PDAC
120853-3,Macrophages_M1,Macrophages
120854-3,Classical_CEACAM,Classical PDAC
120856-3,iCAF,Fibroblasts
120868-3,T cells,Lymphocytes
120873-3,Classical_CEACAM,Classical PDAC
120878-3,myCAF_ACTA2,Fibroblasts
120880-3,Classical_CEACAM,Classical PDAC
120882-3,Classical_CEACAM,Classical PDAC
120902-3,Basal,Basal-like PDAC
120946-3,Endothelial cells,Endothelial cells
120958-3,NK cells,Lymphocytes
120959-3,Gamma cells,Endocrine cells
120967-3,Macrophages_M1,Macrophages
120971-3,Classical_TFF1,Classical PDAC
120974-3,Ductal cells,Ductal cells
120975-3,Classical_CEACAM,Classical PDAC
120976-3,Classical_TFF1,Classical PDAC
120982-3,Ductal cells,Ductal cells
120984-3,Acinar cells,Acinar cells
120997-3,Classical_KRT7,Classical PDAC
121011-3,Endothelial cells,Endothelial cells
121020-3,Classical_TFF1,Classical PDAC
121027-3,myCAF_ACTA2,Fibroblasts
121030-3,Classical_TFF1,Classical PDAC
121031-3,Classical_CEACAM,Classical PDAC
121054-3,Classical_CEACAM,Classical PDAC
121069-3,myCAF_POSTN,Fibroblasts
121072-3,Classical_TFF1,Classical PDAC
121076-3,Classical_KRT7,Classical PDAC
121078-3,iCAF,Fibroblasts
121085-3,myCAF_POSTN,Fibroblasts
121098-3,myCAF_ACTA2,Fibroblasts
121117-3,Dendritic cells,Dendritic cells
121126-3,Schwann cells,Schwann cells
121131-3,myCAF_ACTA2,Fibroblasts
121142-3,Gamma cells,Endocrine cells
121153-3,Classical_KRT7,Classical PDAC
121158-3,myCAF_POSTN,Fibroblasts
121192-3,Acinar cells,Acinar cells
121203-3,Classical_KRT7,Classical PDAC
121219-3,Macrophages_M1,Macrophages
121226-3,Classical_TFF1,Classical PDAC
121230-3,Classical_CEACAM,Classical PDAC
121237-3,Schwann cells,Schwann cells
121246-3,myCAF_ACTA2,Fibroblasts
121247-3,B cells,Lymphocytes
121259-3,Classical_KRT7,Classical PDAC
121267-3,B cells,Lymphocytes
121273-3,Classical_CEACAM,Classical PDAC
121279-3,myCAF_ACTA2,Fibroblasts
121296-3,Basal,Basal-like PDAC
121305-3,Acinar cells,Acinar cells
121313-3,Classical_CEACAM,Classical PDAC
121314-3,T cells,Lymphocytes
121319-3,NK cells,Lymphocytes
121322-3,Basal,Basal-like PDAC
121339-3,myCAF_POSTN,Fibroblasts
121380-3,Endothelial cells,Endothelial cells
121398-3,Acinar cells,Acinar cells
121409-3,T cells,Lymphocytes
121414-3,Classical_CEACAM,Classical PDAC
121419-3,NK cells,Lymphocytes
121429-3,Classical_CEACAM,Classical PDAC
121464-3,B cells,Lymphocytes
121484-3,NK cells,Lymphocytes
121486-3,myCAF_ACTA2,Fibroblasts
121492-3,NK cells,Lymphocytes
121528-3,Classical_CEACAM,Classical PDAC
121535-3,Beta cells,Endocrine cells
121542-3,Endothelial cells,Endothelial cells
121544-3,Classical_TFF1,Classical PDAC
121547-3,B cells,Lymphocytes
121550-3,Classical_TFF1,Classical PDAC
121560-3,Endothelial cells,Endothelial cells
121566-3,Acinar cells,Acinar cells
121568-3,Basal,Basal-like PDAC
121569-3,Dendritic cells,Dendritic cells
121570-3,Beta cells,Endocrine cells
121571-3,Classical_CEACAM,Classical PDAC
121582-3,Macrophages_M1,Macrophages
121588-3,Classical_KRT7,Classical PDAC
121600-3,NK cells,Lymphocytes
121608-3,Basal,Basal-like PDAC
121616-3,Macrophages_M1,Macrophages
121617-3,T cells,Lymphocytes
121619-3,Classical_TFF1,Classical PDAC
121627-3,Acinar cells,Acinar cells
121634-3,B cells,Lymphocytes
121644-3,Classical_KRT7,Classical PDAC
121646-3,myCAF_ACTA2,Fibroblasts
121658-3,Macrophages_M2,Macrophages
121660-3,Classical_CEACAM,Classical PDAC
121664-3,B cells,Lymphocytes
121666-3,Macrophages_M2,Macrophages
121667-3,T cells,Lymphocytes
121672-3,Classical_CEACAM,Classical PDAC
121679-3,Classical_KRT7,Classical PDAC
121681-3,Classical_CEACAM,Classical PDAC
121693-3,Endothelial cells,Endothelial cells
121696-3,iCAF,Fibroblasts
121715-3,Classical_TFF1,Classical PDAC
121728-3,Classical_TFF1,Classical PDAC
